Řidič motorového vozidla smí dávat světelné výstražné znamení krátkým přerušovaným rozsvícením dálkových světel nebo přepínáním potkávacích a dálkových světel:|B|Jen mimo obec při předjíždění k upozornění řidiče předjížděného vozidla.|Pouze k odvrácení hrozícího nebezpečí nebo k upozornění řidiče předjížděného vozidla.|Pokud chce upozornit ostatní řidiče na silniční kontrolu.
Řidič při vyjíždění z kruhového objezdu:|A|Je povinen dát znamení o změně směru jízdy vpravo.|Není povinen dát znamení o změně směru jízdy.|Je povinen upozornit ostatní účastníky provozu o svém úmyslu výstražným světelným znamením.
Řidič vjíždějící z účelové pozemní komunikace na jinou pozemní komunikaci:|B|Nemusí dát přednost v jízdě vozidlům nebo jezdcům na zvířatech nebo organizovanému útvaru chodců nebo průvodcům hnaných zvířat se zvířaty jdoucím po pozemní komunikaci.|Musí dát přednost v jízdě vozidlům nebo jezdcům na zvířatech nebo organizovanému útvaru chodců nebo průvodcům hnaných zvířat se zvířaty jdoucím po pozemní komunikaci.|Nemusí dát přednost jezdcům na zvířatech nebo organizovanému útvaru chodců jdoucím po pozemní komunikaci, musí dát přednost v jízdě pouze vozidlům jedoucím po pozemní komunikaci.
Kdo odpovídá za umístění a upevnění dětské autosedačky v souladu s návodem k jejímu použití?|A|Vždy řidič vozidla.|Zákonný zástupce dítěte nebo jím pověřená osoba.|Osoba, která dítě doprovází, a u dítěte bez doprovodu řidič.
Na silniční vegetaci, pokud to není povoleno místní úpravou na pozemní komunikaci:|B|Řidič může zastavit na dobu nezbytně nutnou.|Řidič nesmí zastavit a stát.|Řidič může zastavit, nikoli však stát.
Na jednosměrné pozemní komunikaci smí řidič zastavit a stát:|C|Pouze vpravo.|Pouze vlevo.|Vpravo i vlevo.
Před železničním přejezdem, u kterého je umístěna dopravní značka "Stůj, dej přednost v jízdě!", musí řidič zastavit vozidlo:|A|Na takovém místě, odkud má náležitý rozhled na trať.|Nejdále 5 m za touto dopravní značkou.|Nejméně 5 m před železničním přejezdem.
Řidič, který měl účast na dopravní nehodě, je povinen:|A|Neprodleně zastavit vozidlo.|Neprodleně zastavit vozidlo, jen pokud došlo ke zranění nebo usmrcení osob.|Neprodleně zastavit vozidlo, jen pokud došlo při této nehodě ke škodě na majetku převyšující částku 50 000 Kč nebo ke zranění nebo usmrcení osob.
Svítí-li světlo signálu se žlutým světlem "Pozor!" na křižovatce přerušovaně:|A|Nejde o křižovatku s provozem řízeným světelnými signály.|Znamená to pro řidiče povinnost neprodleně křižovatku opustit.|Je to signál pro řidiče k volnému průjezdu křižovatkou.
Provozovatel motorového	vozidla odpovídá:|A|Za škodu vyvolanou zvláštní povahou provozu motorového vozidla.|Pouze za škodu, která byla vyvolána porušením jeho právních povinností.|Pouze za škodu, která byla vyvolána porušením povinností řidiče tohoto vozidla.
Pojištění odpovědnosti z provozu vozidla se vztahuje na:|A|Každou osobu, která odpovídá za škodu způsobenou provozem vozidla uvedeného v pojistné smlouvě.|Vlastníka vozidla, který odpovídá za škodu způsobenou provozem vozidla. Na ostatní uživatele vozidla se toto pojištění nevztahuje.|Vlastníka vozidla při účasti na organizovaném motoristickém závodu, kde řidič není povinen dodržovat pravidla o provozu na pozemních komunikacích.
Vozidlo vjíždějící na pozemní komunikaci:|A|Musí být předem očištěno tak, aby neznečišťovalo pozemní komunikaci.|Musí být v případě, že tak lze učinit bez větších obtíží, předem očištěno.|Musí být očištěno na nejbližším vhodném místě po vjetí na pozemní komunikaci.
Řidič, který při předjíždění motorového vozidla vybočuje ze směru své jízdy:|B|Nemusí dávat znamení o změně směru jízdy.|Musí dávat znamení o změně směru jízdy.|Dává znamení o změně směru jízdy jen tehdy, vyžaduje-li to bezpečnost provozu.
Ve výhledu z motorového vozidla vidíte děti, které si hrají na chodníku. Jak se zachováte?|A|Budete s ohledem na možné vběhnutí dětí do vozovky připraven(-a) brzdit a podle okolností snížíte rychlost jízdy.|Protože jsou děti na chodníku, nemáte důvod ke zvýšení opatrnosti ani ke změně způsobu jízdy.|Z dostatečné vzdálenosti upozorníte hrající si děti na možné nebezpečí zvukovým výstražným znamením.
Řidičské oprávnění skupiny B lze udělit osobě:|A|Která je starší 18 let.|Která je starší 16 let.|Která je starší 17 let.
Podmínky pro udělení příslušného řidičského oprávnění musí osoba splňovat:|A|Po celou dobu držení tohoto řidičského oprávnění.|Pouze v okamžiku udělení tohoto řidičského oprávnění.|Pouze v okamžiku udělení tohoto řidičského oprávnění nebo při přezkoušení z odborné způsobilosti.
Během jízdy motorovým vozidlem není ze zákona zakázáno kouřit:|A|Řidiči osobního motorového vozidla.|Řidiči motocyklu, mopedu nebo jízdním kole.|Řidiči vozidla hromadné dopravy osob.
Prodleva brzd:|C|Brzdnou dráhu neovlivňuje.|Brzdnou dráhu zkracuje.|Brzdnou dráhu prodlužuje.
Které z následujících motorových vozidel nesmíte řídit s řidičským oprávněním skupiny C:|C|Motorové vozidlo určené pro přepravu nákladu, se dvěma místy k sezení, jehož maximální přípustná hmotnost je 12.000 kg.|Motorové vozidlo určené pro přepravu nákladu, se třemi místy k sezení, jehož maximální přípustná hmotnost je 7.900 kg.|Motorové vozidlo určené pro přepravu osob, s deseti místy k sezení, jehož maximální přípustná hmotnost je 7.500 kg.
Které z následujících motorových vozidel smíte řídit na základě řidičského oprávněním skupiny C:|A|Motorové vozidlo určené pro přepravu nákladu, se dvěma místy k sezení, jehož maximální přípustná hmotnost je 8.000 kg.|Motorové vozidlo určené pro přepravu osob, s patnácti místy k sezení, jehož maximální přípustná hmotnost je 7.850 kg, v němž je v danou chvíli přepravováno pět osob.|Motorové vozidlo určené pro přepravu osob, s dvanácti místy k sezení, jehož maximální přípustná hmotnost je 7.550 kg.
Které z následujících motorových vozidel smíte řídit s řidičským oprávněním skupiny D:|A|Motorové vozidlo určené pro přepravu osob, s deseti místy k sezení, jehož maximální přípustná hmotnost je 7.500 kg.|Motorové vozidlo určené pro přepravu nákladu, se třemi místy k sezení, jehož maximální přípustná hmotnost je 7.900 kg.|Motorové vozidlo určené pro přepravu nákladu, se dvěma místy k sezení, jehož maximální přípustná hmotnost je 12.000 kg.
Které z následujících motorových vozidel smíte řídit s řidičským oprávněním skupiny D:|A|Motorové vozidlo s padesáti místy k sezení, jehož maximální přípustná hmotnost je 14.800 kg.|Motorové vozidlo se třemi místy k sezení, jehož maximální přípustná hmotnost je 15.500 kg.|Motocykl s postranním vozíkem o objemu válců 498 cm3 a výkonu 37 kW.
S řidičským oprávněním skupiny D smíte řídit jízdní soupravu za předpokladu, že k motorovému vozidlu, k jehož řízení řidičské oprávnění skupiny D opravňuje, připojíte:|A|Přípojné vozidlo o maximální přípustné hmotnosti nepřevyšující 750 kg.|Přípojné vozidlo o maximální přípustné hmotnosti nepřevyšující 1.000 kg.|Přípojné vozidlo o maximální přípustné hmotnosti nepřevyšující 1.250 kg.
Řídit motorové vozidlo určené pro přepravu osob, s dvaceti místy k sezení, jehož maximální přípustná hmotnost je 8.000 kg, pouze na základě řidičského oprávnění skupiny C:|A|Nesmíte.|Smíte, a to bez omezení.|Smíte, pokud počet přepravovaných osob nepřekročí 8 osob.
První pomoc je povinen poskytnout:|B|Jen ten, kdo prošel jakýmkoli zdravotnickým školením.|Každý, kdo tak může učinit bez nebezpečí pro sebe nebo jiného.|Každý, pokud již dosáhl věku 18 let.
Je jezdec na koni, který se pohybuje po pozemní komunikaci, řidičem?|B|Ne.|Ano.
Platí pro jezdce na koni, který jede po pozemní komunikaci, povinnosti a práva řidiče?|A|Ano.|Ne.
Vozka, který řídí potahové vozidlo, je:|C|Jezdcem na zvířeti.|Průvodcem vedených a hnaných zvířat.|Řidičem.
Mohou účastníci provozu na pozemních komunikacích používat tzv. aktivní antiradary, tj. technické prostředky, které znemožňují nebo ovlivňují funkci technických prostředků používaných policií při dohledu na bezpečnost provozu?|B|Ano.|Ne.
Provozovatel vozidla je:|B|Každá fyzická osoba, která je držitelem řidičského oprávnění, ale není vlastníkem vozidla.|Osoba, která je v registru silničních vozidel zapsána jako vlastník vozidla, není-li jako jeho provozovatel v registru silničních vozidel zapsána jiná osoba.|Každá fyzická osoba, která je držitelem řidičského oprávnění.
Je vozka, který řídí potahové vozidlo, řidičem?|B|Ne.|Ano.
Stát znamená:|A|Uvést vozidlo do klidu nad dobu dovolenou pro zastavení.|Přerušit jízdu z důvodu nezávislého na vůli řidiče, například při závadě na vozidle.|Uvést vozidlo do klidu na dobu nezbytně nutnou k neprodlenému nastoupení nebo vystoupení přepravovaných osob anebo k neprodlenému naložení nebo složení nákladu.
Dát přednost v jízdě znamená:|A|Povinnost řidiče nezahájit jízdu nebo jízdní úkon nebo v nich nepokračovat, jestiže by řidič, který má přednost v jízdě, musel náhle změnit směr nebo rychlost jízdy.|Povinnost řidiče počínat si tak, aby jinému účastníkovi provozu na pozemních komunikacích nijak nepřekážel.|Povinnost řidiče počínat si tak, aby jinému účastníkovi provozu na pozemních komunikacích nevzniklo žádné nebezpečí.
Místo, v němž se pozemní komunikace protínají nebo spojují, nejde-li o vyústění účelové pozemní komunikace na jinou pozemní komunikaci, se nazývá:|A|Křižovatka.|Hranice křižovatky.|Spojnice pozemních komunikací.
Řidič smí v provozu na pozemních komunikacích užít:|A|Jen vozidlo, které splňuje technické podmínky stanovené zvláštním předpisem.|I vozidlo, které sice nesplňuje technické podmínky, ale majitel vozidla dovolí vozidlo užít nebo jeho užití přikáže.|I vozidlo, které splňuje jen některé technické podmínky stanovené zvláštním předpisem, pokud řidič dbá při jízdě zvýšené opatrnosti.
Je řidič povinen dbát zvýšené opatrnosti vůči výcvikovým vozidlům autoškoly?|A|Ano.|Ne.
Řidič motorového vozidla je povinen podrobit vozidlo technické silniční kontrole největší přípustné hmotnosti na nápravu, největší přípustné hmotnosti vozidla nebo jízdní soupravy nebo technického stavu vozidla nebo jízdní soupravy na výzvu:|B|Policisty, strážníka obecní policie nebo celníka.|Policisty|Policisty nebo strážníka obecní policie.
Provozovatel silničního motorového vozidla nesmí provozovat na pozemních komunikacích vozidlo, které:|A|Je technicky nezpůsobilé k provozu.|Není opatřeno dálniční známkou.|Má registrační značku jiného státu.
Při jízdě po silnici pro motorová vozidla:|A|Je zakázáno zastavit a stát mimo místa označená jako parkoviště.|Je zakázáno zastavit a stát, s výjimkou míst na krajnici, kde je parkování povoleno.|Platí stejná ustanovení jako pro zastavení a stání na ostatních pozemních komunikacích.
Řidič odbočující z kruhového objezdu:|B|Musí dávat znamení o změně směru jízdy vlevo.|Musí dávat znamení o změně směru jízdy vpravo.|Nemusí dávat znamení o změně směru jízdy.
Může řidič motorového vozidla předjíždět bezprostředně před přechodem pro chodce, pokud dává znamení o změně směru jízdy?|B|Ano.|Ne.
Při jízdě na dálnici:|A|Je zakázáno zastavit a stát mimo místa označená jako parkoviště.|Je zakázáno zastavit a stát, s výjimkou míst na krajnici, kde je parkování povoleno.|Platí stejná ustanovení jako pro zastavení a stání na ostatních pozemních komunikacích.
Na silnici pro motorová vozidla:|A|Je zakázáno zastavit a stát mimo místa označená jako parkoviště.|Je zakázáno zastavit a stát, s výjimkou míst na krajnici, kde je parkování povoleno.|Je zakázáno stát mimo místa označená jako parkoviště; na krajnici je zde možné zastavit i mimo vyznačené parkoviště.
Řidič nesmí předjíždět:|A|nemá-li před sebe rozhled na takovou vzdálenost, která je nutná k bezpečnému předjetí.|nemá-li před sebe rozhled na vzdálenost nutnou k bezpečnému předjetí; to neplatí na jednosměrné pozemní komunikaci a při předjíždění cyklistů.|v noci.
Řidiči protijedoucích vozidel se vyhýbají:|C|Vlevo, včas a v dostatečné míře.|Vlevo, minimálně 10 m před místem, kde se budou míjet.|Vpravo, včas a v dostatečné míře.
Dojde-li při jízdě vozidla v tunelu k poruše vozidla, pro kterou se toto vozidlo stalo nepojízdným:|A|Je řidič porouchaného vozidla podle okolností oprávněn zastavovat jiná vozidla.|Jsou řidič a přepravované osoby z porouchaného vozidla povinni neprodleně opustit tunel.|Je řidič porouchaného vozidla povinen neprodleně odstranit závadu, která mu brání v další jízdě.
Dojde-li při jízdě vozidla v tunelu k poruše vozidla, pro kterou se toto vozidlo stalo nepojízdným:|A|Řidič ani přepravovaná osoba nesmí kouřit ani zacházet s otevřeným ohněm. Nezávislé topení nepojízdného vozidla musí v tunelu být vypnuto.|Řidič vozidla neoznačuje vozidlo jako překážku v provozu na pozemních komunikacích.|Řidič vozidla a přepravované osoby mohou zůstat ve vozidle, pokud neprodleně oznámili zastavení vozidla policii nebo osobě vykonávající dohled nad provozem tunelu.
Řidič nesmí zastavit a stát:|C|V připojovacím pruhu, nejméně 50 m před místem připojení k průběžnému pruhu.|Jen v odbočovacím pruhu.|V připojovacím nebo odbočovacím pruhu.
Řidič vozidla, které je povinně vybaveno přenosným trojúhelníkem a pro technickou závadu se na pozemní komunikaci mimo obec stalo nepojízdným, je povinen tento trojúhelník umístit:|A|Na okraj vozovky ve vzdálenosti nejméně 50 metrů za vozidlem, na dálnici nejméně 100 m za vozidlem.|Na střed vozovky ve vzdálenosti nejméně 50 metrů za vozidlem, na dálnici nejméně 100 m za vozidlem.|Na střechu vozidla, odkud bude zezadu dobře viditelný.
Přilnavost mezi pneumatikou a povrchem vozovky je závislá na:|A|Huštění pneumatiky, hloubce jejího dezénu a druhu povrchu vozovky.|Huštění pneumatiky a hloubce jejího dezénu. Druh povrchu vozovky nemá výraznější vliv na přilnavost.|Druhu povrchu vozovky. Huštění a hloubka dezénu pneumatiky výrazně přilnavost neovlivňují.
Pojištění odpovědnosti z provozu vozidla se vztahuje:|A|Na každou osobu, která odpovídá za škodu způsobenou provozem vozidla uvedeného v pojistné smlouvě.|Na škodu způsobenou pouze provozovatelem tohoto vozidla a jeho rodinnými příslušníky.|Na škodu způsobenou výlučně provozovatelem tohoto vozidla.
Přetáčivý smyk u vozidla s pohonem zadních kol a manuální převodovkou budete řešit:|A|Sešlápnutím spojkového pedálu a natočením volantu směrem, kterým se pohybuje zadní část vozidla.|Sešlápnutím brzdového pedálu a natočením volantu směrem, kterým se pohybuje zadní část vozidla.|Sešlápnutím pedálu akcelerátoru a natočením volantu směrem, kterým se pohybuje zadní část vozidla.
Ve zvláštním motorovém vozidle nesmějí být přepravovány:|C|Osoby mladší 18 let.|Osoby starší 60 let.|Osoby mladší 15 let.
Strážník obecní policie :|C|Je oprávněn k zastavování vozidel i v civilním oblečení.|Není oprávněn zastavovat vozidla ani ve stejnokroji obecní policie.|Je oprávněn zastavovat vozidla pouze ve stejnokroji obecní policie.
Celník ve stejnokroji:|B|Nesmí zastavovat vozidla.|Smí zastavovat vozidla.|Smí zastavovat vozidla pouze na hraničním přechodu.
Příčinou vzniku aquaplaningu je:|A|Rychlá jízda na vozovce pokryté větším množstvím vody.|Prudké zrychlení vozidla na mokré vozovce.|Prudké brzdění vozidla na mokré vozovce.
Přečnívá-li za snížené viditelnosti náklad vozidlo vpředu nebo vzadu o více než 1 metr, musí být přečnívající konec nákladu:|B|Označen červeným praporkem o rozměrech nejméně 30 x 30 cm a dále vzadu červeným světlem a vpředu neoslňujícím bílým světlem.|Označen vzadu červeným světlem a jinou než trojúhelníkovou červenou odrazkou a vpředu neoslňujícím bílým světlem a jinou než trojúhelníkovou bílou odrazkou.|Označen vzadu červeným světlem a trojúhelníkovou červenou odrazkou a vpředu neoslňujícím bílým světlem a trojúhelníkovou bílou odrazkou.
Přečnívá-li za nesnížené viditelnosti náklad z boku u motorového vozidla nebo jízdní soupravy vnější okraj obrysových světel o více než 40 cm, musí být přečnívající konec nákladu:|A|Označen červeným praporkem o rozměrech nejméně 30 x 30 cm.|Označen vzadu červenou a vpředu bílou odrazkou jiného než trojúhelníkového tvaru.|Označen vzadu červenou a vpředu bílou odrazkou trojúhelníkového tvaru.
Přečnívá-li za snížené viditelnosti náklad z boku u motorového vozidla nebo jízdní soupravy vnější okraj obrysových světel o více než 40 cm, musí být přečnívající konec nákladu:|B|Označen červeným praporkem o rozměrech nejméně 20 x 20 cm a dále vzadu červeným světlem a vpředu neoslňujícím bílým světlem.|Označen vzadu červeným světlem a jinou než trojúhelníkovou červenou odrazkou a vpředu neoslňujícím bílým světlem a jinou než trojúhelníkovou bílou odrazkou.|Označen vzadu červeným světlem a trojúhelníkovou červenou odrazkou a vpředu neoslňujícím bílým světlem a trojúhelníkovou bílou odrazkou.
Zvláštním způsobem musí být označen náklad, který přečnívá vozidlo vpředu nebo vzadu:|C|O více než 50 cm.|O více než 70 cm.|O více než 1 metr.
Zvláštním způsobem musí být označen náklad, který z boku u motorového vozidla nebo jízdní soupravy přečnívá:|A|Vnější okraj obrysových světel o více než 40 cm.|Vnější obrys motorového vozidla nebo jízdní soupravy o více než 20 cm.|Vnější okraj obrysových světel o více než 20 cm.
K měření rychlosti vozidel je oprávněna:|A|Policie České republiky a obecní policie.|Policie České republiky.|Policie České republiky, obecní policie a celní správa.
Náklad, který přečnívá vpředu nebo vzadu vozidlo, musí být zvláštním způsobem označen, pouze pokud takto přečnívá:|B|O více než 75 cm.|O více než 100 cm.|O více než 125 cm.
Nakládání či skládání nákladu na pozemní komunikaci:|A|Je dovoleno jen tehdy, nelze-li to provést mimo pozemní komunikaci.|Je zakázáno. Výjimku může udělit příslušný útvar Policie České republiky.|Je dovoleno, s výjimkou skládání sypkých substrátů (např. písku).
Nakládání či skládání nákladu na pozemní komunikaci:|A|Nesmí ohrozit bezpečnost provozu na pozemních komunikacích.|Nesmí omezit plynulost provozu na pozemních komunikacích.|Nesmí probíhat za snížené viditelnosti.
Při nakládání nebo skládání nákladu na pozemní komunikaci:|A|Musí být náklad naložen nebo složen co nejrychleji a tak, aby nebyla ohrožena bezpečnost provozu na pozemních komunikacích.|Musí být osoby nakládající nebo skládající náklad oděny ve svrchní části oděvu z retroreflexního materiálu.|Musí být přibrána způsobilá a náležitě poučená osoba, aby nebyla ohrožena bezpečnost provozu na pozemních komunikacích.
Přepravované věci musí být ve vozidle umístěny:|A|Tak, aby neomezovaly a neohrožovaly řidiče nebo osoby přepravované ve vozidle a nebránily výhledu z místa řidiče.|Vždy v prostoru uzpůsobeném a určeném pro přepravu zavazadel.|Tak, aby nemohly překážet v rychlém opuštění vozidla, například v případě dopravní nehody.
Náklad musí být na vozidle umístěn a upevněn:|A|Tak, aby byla zajištěna stabilita a ovladatelnost vozidla a aby náklad neohrožoval bezpečnost provozu na pozemních komunikacích.|Tak, aby nepřečníval vozidlo vpředu, vzadu ani z boku.|Tak, aby v případě dopravní nehody nemohlo dojít k jeho poškození nebo zničení.
Při přepravě nákladu nesmějí po straně z vozidla vyčnívat:|A|Předměty, které lze snadno přehlédnout, jako jsou například jednotlivé tyče nebo roury.|Žádné předměty.|Žádné předměty, které nejsou viditelně označeny červeným praporkem o rozměrech nejméně 30 x 30 cm.
Při přepravě živých zvířat:|A|Nesmí být ohrožena bezpečnost přepravovaných zvířat.|Musí být vozidlo označeno zvláštním označením pro vozidla přepravující živá zvířata.|Musí být za jízdy na vozidle v chodu zvláštní výstražné světlo oranžové barvy.
Za nesnížené viditelnosti při přepravě zemědělských produktů nemusí být zvláštním způsobem označen náklad přečnívající:|A|Z boku vnější okraj obrysových světel o více než 40 cm.|Vozidlo vzadu o více než 1 metr.|Vozidlo vpředu o více než 1 metr.
Stanovené osvětlení, odrazky a registrační značka, rozpoznávací značka státu ani vyznačení nejvyšší povolené rychlosti:|A|Nesmějí být zakryty přepravovaným nákladem ani zařízeními sloužícími k jeho upevnění a ochraně (např. plachta, řetězy nebo lana).|Mohou být zakryty zařízeními sloužícími k upevnění a ochraně nákladu (např. plachta, řetězy nebo lana), nelze-li náklad jinak zajistit.|Mohou být zakryty nákladem, pokud je za jízdy na vozidle v chodu zvláštní výstražné světlo oranžové barvy.
Při zapojování vozidel do soupravy:|A|Nejprve zapojíme závěsné zařízení a potom zásuvku elektrického spojovacího zařízení.|Nejprve zapojíme zásuvku elektrického spojovacího zařízení a potom závěsné zařízení.|Není důležité pořadí úkonů.
Používání ochranné výstroje jako rukavic, bot a vhodného oblečení:|A|Může u posádky motocyklu výrazně snížit zdravotní následky dopravní nehody.|Je zákonnou podmínkou účasti řidiče motocyklu v silničním provozu.|Je doporučováno jen pro jízdu na motocyklu na dálnicích a silnicích pro motorová vozidla.
Řidičské oprávnění může být uděleno:|A|Pouze osobě, která není ve výkonu sankce zákazu řízení motorových vozidel a plní ostatní podmínky pro udělení řidičského oprávnění.|Osobě, která je odborně způsobilá, i když je ve výkonu sankce zákazu činnosti spočívajícího v zákazu řízení motorových vozidel.|Osobě, která je starší 18 let, pokud o udělení řidičského oprávnění požádá.
Policista smí řidiči na místě zadržet řidičský průkaz:|C|Kdykoli.|Pouze v případě, že řidič požil před jízdou alkohol nebo jinou návykovou látku.|Pouze v případech daných zákonem.
Od řidiče motorového vozidla podezřelého ze spáchání přestupku proti bezpečnosti a plynulosti provozu na pozemních komunikacích, u kterého je důvodné podezření, že se bude vyhýbat přestupkovému řízení, je oprávněn vybrat kauci:|A|Policista.|Policista a strážník obecní policie.|Policista, strážník obecní policie a celník ve stejnokroji.
Zdravotně způsobilý k řízení motorových vozidel není ten:|A|Kdo má podle posudku o zdravotní způsobilosti poruchy chování způsobené závislostí na alkoholu nebo jiných psychoaktivních látkách.|Kdo je v pracovní neschopnosti.|Kdo je osobou těžce postiženou nebo těžce pohybově postiženou anebo osobou sluchově postiženou
Ten, kdo se v rozporu se zákonem nepodrobil pravidelné lékařské prohlídce a není proto držitelem platného posudku o zdravotní způsobilosti:|A|Je zdravotně nezpůsobilý k řízení motorových vozidel.|Je zdravotně způsobilý k řízení motorových vozidel do doby, než se pravidelné lékařské prohlídce podrobí, nejdéle však po dobu šesti měsíců.|Ztrácí řidičské oprávnění.
Řidič nesmí přepravovat na druhém sedadle motocyklu:|A|Osobu mladší 12 let.|Osobu mladší 15 let.|Osobu mladší 17 let.
Motocykl bez postranního vozíku:|C|Se nesmí vléci, smí se však užít jako vlečné vozidlo.|Se smí vléci, nesmí se však užít jako vlečné vozidlo.|Se nesmí vléci ani užít jako vlečné vozidlo.
